filename|entry_date|entry_timestamp|book|chapter|verse
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:00:33|Sun 5 Oct 2014 00:00:33|Ephesians|2|10
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:01:53|Sun 5 Oct 2014 00:01:53|Romans|7|25
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:01:56|Sun 5 Oct 2014 00:01:56|Romans|8|1
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:02:00|Sun 5 Oct 2014 00:02:00|Romans|7|25
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:02:01|Sun 5 Oct 2014 00:02:01|Romans|7|24
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:02:09|Sun 5 Oct 2014 00:02:09|Romans|7|23
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:02:15|Sun 5 Oct 2014 00:02:15|Romans|7|22
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:02:16|Sun 5 Oct 2014 00:02:16|Romans|7|21
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:02:25|Sun 5 Oct 2014 00:02:25|Romans|7|22
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:02:25|Sun 5 Oct 2014 00:02:25|Romans|7|23
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:02:26|Sun 5 Oct 2014 00:02:26|Romans|7|24
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:03:14|Sun 5 Oct 2014 00:03:14|Romans|8|29
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:04:06|Sun 5 Oct 2014 00:04:06|Romans|8|30
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:04:08|Sun 5 Oct 2014 00:04:08|Romans|8|30
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:11:39|Sun 5 Oct 2014 00:11:39|Hebrews|12|6
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:11:53|Sun 5 Oct 2014 00:11:53|Hebrews|12|7
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:11:54|Sun 5 Oct 2014 00:11:54|Hebrews|12|8
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:11:56|Sun 5 Oct 2014 00:11:56|Hebrews|12|9
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:11:57|Sun 5 Oct 2014 00:11:57|Hebrews|12|10
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:11:58|Sun 5 Oct 2014 00:11:58|Hebrews|12|11
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:12:00|Sun 5 Oct 2014 00:12:00|Hebrews|12|11
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:12:01|Sun 5 Oct 2014 00:12:01|Hebrews|12|11
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:12:47|Sun 5 Oct 2014 00:12:47|2Thessalonians|2|13
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:12:52|Sun 5 Oct 2014 00:12:52|2Thessalonians|2|14
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:21:19|Sun 5 Oct 2014 00:21:19|Galatians|1|13
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:21:31|Sun 5 Oct 2014 00:21:31|Galatians|1|14
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:21:41|Sun 5 Oct 2014 00:21:41|Galatians|1|14
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:21:42|Sun 5 Oct 2014 00:21:42|Galatians|1|13
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:21:44|Sun 5 Oct 2014 00:21:44|Galatians|1|14
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:21:45|Sun 5 Oct 2014 00:21:45|Galatians|1|13
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:21:53|Sun 5 Oct 2014 00:21:53|Galatians|1|14
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:22:45|Sun 5 Oct 2014 00:22:45|Galatians|1|15
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:23:00|Sun 5 Oct 2014 00:23:00|Galatians|1|16
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:23:09|Sun 5 Oct 2014 00:23:09|Galatians|1|16
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:24:14|Sun 5 Oct 2014 00:24:14|Acts|9|1
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:24:42|Sun 5 Oct 2014 00:24:42|Acts|9|2
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:25:05|Sun 5 Oct 2014 00:25:05|Acts|9|3
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:25:13|Sun 5 Oct 2014 00:25:13|Acts|9|3
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:25:13|Sun 5 Oct 2014 00:25:13|Acts|9|3
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:25:27|Sun 5 Oct 2014 00:25:27|Acts|9|4
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:25:40|Sun 5 Oct 2014 00:25:40|Acts|9|5
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:26:14|Sun 5 Oct 2014 00:26:14|Acts|9|6
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:26:20|Sun 5 Oct 2014 00:26:20|Acts|9|6
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:26:42|Sun 5 Oct 2014 00:26:42|Acts|9|6
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:26:43|Sun 5 Oct 2014 00:26:43|Acts|9|7
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:26:48|Sun 5 Oct 2014 00:26:48|Acts|9|6
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:26:54|Sun 5 Oct 2014 00:26:54|Acts|9|7
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:26:59|Sun 5 Oct 2014 00:26:59|Acts|9|7
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:27:16|Sun 5 Oct 2014 00:27:16|Acts|9|7
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:27:18|Sun 5 Oct 2014 00:27:18|Acts|9|7
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:27:25|Sun 5 Oct 2014 00:27:25|Acts|9|8
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:27:43|Sun 5 Oct 2014 00:27:43|Acts|9|9
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:27:51|Sun 5 Oct 2014 00:27:51|Acts|9|9
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:27:58|Sun 5 Oct 2014 00:27:58|Acts|9|10
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:28:10|Sun 5 Oct 2014 00:28:10|Acts|9|11
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:28:33|Sun 5 Oct 2014 00:28:33|Acts|9|12
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:28:41|Sun 5 Oct 2014 00:28:41|Acts|9|12
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:28:50|Sun 5 Oct 2014 00:28:50|Acts|9|13
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:29:05|Sun 5 Oct 2014 00:29:05|Acts|9|14
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:29:18|Sun 5 Oct 2014 00:29:18|Acts|9|15
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:29:29|Sun 5 Oct 2014 00:29:29|Acts|9|16
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:29:40|Sun 5 Oct 2014 00:29:40|Acts|9|17
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:29:48|Sun 5 Oct 2014 00:29:48|Acts|9|18
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:30:03|Sun 5 Oct 2014 00:30:03|Acts|9|18
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:30:07|Sun 5 Oct 2014 00:30:07|Acts|9|18
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:31:06|Sun 5 Oct 2014 00:31:06|John|17|17
BDA 2014 10 05.txt|Sun 5 Oct 2014 00:31:09|Sun 5 Oct 2014 00:31:09|John|17|16
