filename|entry_date|entry_timestamp|book|chapter|verse
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:05:15|Wed 12 Aug 2015 00:05:15|Hebrews|9|16
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:05:17|Wed 12 Aug 2015 00:05:17|Hebrews|9|17
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:08:52|Wed 12 Aug 2015 00:08:52|Ephesians|1|11
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:08:58|Wed 12 Aug 2015 00:08:58|Ephesians|1|12
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:09:09|Wed 12 Aug 2015 00:09:09|Ephesians|1|5
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:12:10|Wed 12 Aug 2015 00:12:10|Hebrews|10|1
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:12:27|Wed 12 Aug 2015 00:12:27|Ephesians|2|12
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:12:39|Wed 12 Aug 2015 00:12:39|Ephesians|2|13
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:12:43|Wed 12 Aug 2015 00:12:43|Ephesians|2|13
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:12:48|Wed 12 Aug 2015 00:12:48|Ephesians|2|14
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:12:49|Wed 12 Aug 2015 00:12:49|Ephesians|2|15
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:12:50|Wed 12 Aug 2015 00:12:50|Ephesians|2|16
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:12:52|Wed 12 Aug 2015 00:12:52|Ephesians|2|17
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:12:53|Wed 12 Aug 2015 00:12:53|Ephesians|2|18
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:12:54|Wed 12 Aug 2015 00:12:54|Ephesians|2|19
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:12:58|Wed 12 Aug 2015 00:12:58|Ephesians|2|19
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:13:02|Wed 12 Aug 2015 00:13:02|Ephesians|4|4
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:13:06|Wed 12 Aug 2015 00:13:06|Colossians|1|18
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:13:08|Wed 12 Aug 2015 00:13:08|Colossians|1|24
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:14:44|Wed 12 Aug 2015 00:14:44|Colossians|2|14
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:14:53|Wed 12 Aug 2015 00:14:53|Colossians|2|15
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:15:00|Wed 12 Aug 2015 00:15:00|Colossians|2|15
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:15:01|Wed 12 Aug 2015 00:15:01|Colossians|2|14
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:15:07|Wed 12 Aug 2015 00:15:07|Colossians|2|14
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:15:10|Wed 12 Aug 2015 00:15:10|Colossians|2|15
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:15:15|Wed 12 Aug 2015 00:15:15|Colossians|2|15
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:15:39|Wed 12 Aug 2015 00:15:39|Colossians|2|16
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:20:14|Wed 12 Aug 2015 00:20:14|Colossians|2|17
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:20:17|Wed 12 Aug 2015 00:20:17|Colossians|2|16
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:21:12|Wed 12 Aug 2015 00:21:12|Colossians|2|16
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:21:15|Wed 12 Aug 2015 00:21:15|Colossians|2|17
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:21:16|Wed 12 Aug 2015 00:21:16|Colossians|2|16
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:24:32|Wed 12 Aug 2015 00:24:32|Colossians|2|17
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:24:40|Wed 12 Aug 2015 00:24:40|Colossians|2|16
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:26:16|Wed 12 Aug 2015 00:26:16|Hebrews|3|11
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:26:21|Wed 12 Aug 2015 00:26:21|Hebrews|3|12
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:26:25|Wed 12 Aug 2015 00:26:25|Hebrews|3|13
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:26:31|Wed 12 Aug 2015 00:26:31|Hebrews|4|1
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:26:38|Wed 12 Aug 2015 00:26:38|Romans|8|28
BDA 2015 8 12.txt|Wed 12 Aug 2015 00:27:10|Wed 12 Aug 2015 00:27:10|1Thessalonians|5|18
