filename|entry_date|entry_timestamp|book|chapter|verse
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:14:07|Wed 1 Jan 2014 00:14:07|1Corinthians|2|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:14:13|Wed 1 Jan 2014 00:14:13|1Corinthians|2|13
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:14:22|Wed 1 Jan 2014 00:14:22|1Corinthians|2|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:14:26|Wed 1 Jan 2014 00:14:26|1Corinthians|2|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:16:44|Wed 1 Jan 2014 00:16:44|2Corinthians|4|11
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:17:03|Wed 1 Jan 2014 00:17:03|2Corinthians|4|12
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:19:27|Wed 1 Jan 2014 00:19:27|2Corinthians|4|12
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:19:41|Wed 1 Jan 2014 00:19:41|2Corinthians|4|13
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:19:47|Wed 1 Jan 2014 00:19:47|2Corinthians|4|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:20:35|Wed 1 Jan 2014 00:20:35|2Corinthians|4|15
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:20:45|Wed 1 Jan 2014 00:20:45|2Corinthians|4|16
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:21:00|Wed 1 Jan 2014 00:21:00|2Corinthians|4|15
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:21:00|Wed 1 Jan 2014 00:21:00|2Corinthians|4|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:21:00|Wed 1 Jan 2014 00:21:00|2Corinthians|4|13
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:21:00|Wed 1 Jan 2014 00:21:00|2Corinthians|4|12
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:21:06|Wed 1 Jan 2014 00:21:06|2Corinthians|4|13
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:21:06|Wed 1 Jan 2014 00:21:06|2Corinthians|4|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:21:06|Wed 1 Jan 2014 00:21:06|2Corinthians|4|15
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:21:06|Wed 1 Jan 2014 00:21:06|2Corinthians|4|16
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:21:09|Wed 1 Jan 2014 00:21:09|2Corinthians|4|16
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:21:33|Wed 1 Jan 2014 00:21:33|2Corinthians|4|17
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:22:27|Wed 1 Jan 2014 00:22:27|2Corinthians|4|18
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:22:35|Wed 1 Jan 2014 00:22:35|2Corinthians|5|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:22:52|Wed 1 Jan 2014 00:22:52|2Corinthians|5|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:22:57|Wed 1 Jan 2014 00:22:57|1Corinthians|2|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:22:58|Wed 1 Jan 2014 00:22:58|1Corinthians|2|15
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:22:59|Wed 1 Jan 2014 00:22:59|1Corinthians|2|15
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:23:01|Wed 1 Jan 2014 00:23:01|1Corinthians|2|15
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:23:18|Wed 1 Jan 2014 00:23:18|1Corinthians|2|16
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:24:21|Wed 1 Jan 2014 00:24:21|1Corinthians|3|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:26:02|Wed 1 Jan 2014 00:26:02|1Corinthians|3|2
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:27:24|Wed 1 Jan 2014 00:27:24|1Corinthians|3|2
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:27:29|Wed 1 Jan 2014 00:27:29|1Corinthians|3|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:27:30|Wed 1 Jan 2014 00:27:30|1Corinthians|3|2
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:27:31|Wed 1 Jan 2014 00:27:31|1Corinthians|3|3
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:27:33|Wed 1 Jan 2014 00:27:33|1Corinthians|3|3
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:29:43|Wed 1 Jan 2014 00:29:43|1Corinthians|3|3
