filename|file_date
BDA 2014 8 03.txt|2014-08-03
BDA 2020 8 29.txt|2020-08-29
BDA 2021 8 29.txt|2021-08-29
BDA 2018 9 19.txt|2018-09-19
BDA 2020 1 19.txt|2020-01-19
BDA 2020 6 10.txt|2020-06-10
BDA 2020 8 15.txt|2020-08-15
BDA 2019 9 25.txt|2019-09-25
BDA 2021 8 01.txt|2021-08-01
BDA 2018 9 25.txt|2018-09-25
BDA 2018 7 08.txt|2018-07-08
BDA 2021 8 15.txt|2021-08-15
BDA 2021 1 31.txt|2021-01-31
BDA 2018 10 21.txt|2018-10-21
BDA 2022 11 20.txt|2022-11-20
BDA 2015 12 27.txt|2015-12-27
BDA 2015 3 22.txt|2015-03-22
BDA 2020 3 08.txt|2020-03-08
BDA 2020 4 01.txt|2020-04-01
BDA 2020 4 15.txt|2020-04-15
BDA 2018 12 30.txt|2018-12-30
BDA 2019 5 19.txt|2019-05-19
BDA 2018 2 04.txt|2018-02-04
BDA 2020 4 29.txt|2020-04-29
BDA 2019 2 10.txt|2019-02-10
BDA 2016 12 07.txt|2016-12-07
BDA 2021 11 14.txt|2021-11-14
BDA 2022 7 03.txt|2022-07-03
BDA 2022 7 17.txt|2022-07-17
BDA 2023 9 06.txt|2023-09-06
BDA 2017 9 10.txt|2017-09-10
BDA 2016 9 04.txt|2016-09-04
BDA 2017 7 05.txt|2017-07-05
BDA 2017 7 11.txt|2017-07-11
BDA 2016 9 28.txt|2016-09-28
BDA 2016 9 14.txt|2016-09-14
BDA 2022 7 13.txt|2022-07-13
BDA 2021 11 10.txt|2021-11-10
BDA 2020 3 18.txt|2020-03-18
BDA 2020 4 11.txt|2020-04-11
BDA 2018 12 08.txt|2018-12-08
BDA 2020 4 05.txt|2020-04-05
BDA 2021 3 18.txt|2021-03-18
BDA 2014 4 13.txt|2014-04-13
BDA 2022 11 30.txt|2022-11-30
BDA 2014 3 26.txt|2014-03-26
BDA 2021 1 09.txt|2021-01-09
BDA 2019 7 24.txt|2019-07-24
BDA 2020 6 14.txt|2020-06-14
BDA 2018 7 24.txt|2018-07-24
BDA 2018 9 09.txt|2018-09-09
BDA 2019 11 12.txt|2019-11-12
BDA 2020 8 05.txt|2020-08-05
BDA 2020 6 28.txt|2020-06-28
BDA 2018 10 25.txt|2018-10-25
BDA 2021 8 11.txt|2021-08-11
BDA 2018 7 18.txt|2018-07-18
BDA 2019 11 06.txt|2019-11-06
BDA 2014 11 05.txt|2014-11-05
BDA 2014 8 13.txt|2014-08-13
BDA 2013 12 18.txt|2013-12-18
BDA 2017 5 14.txt|2017-05-14
BDA 2016 2 21.txt|2016-02-21
BDA 2016 5 28.txt|2016-05-28
BDA 2016 10 12.txt|2016-10-12
BDA 2016 10 06.txt|2016-10-06
BDA 2017 11 19.txt|2017-11-19
BDA 2022 2 23.txt|2022-02-23
BDA 2023 2 22.txt|2023-02-22
BDA 2023 5 03.txt|2023-05-03
BDA 2017 5 29.txt|2017-05-29
BDA 2016 5 29.txt|2016-05-29
BDA 2017 2 08.txt|2017-02-08
BDA 2016 5 15.txt|2016-05-15
BDA 2015 8 12.txt|2015-08-12
BDA 2014 1 22.txt|2014-01-22
BDA 2014 8 06.txt|2014-08-06
BDA 2014 6 03.txt|2014-06-03
BDA 2015 6 17.txt|2015-06-17
BDA 2023 12 03.txt|2023-12-03
BDA 2015 6 03.txt|2015-06-03
BDA 2021 8 04.txt|2021-08-04
BDA 2018 10 30.txt|2018-10-30
BDA 2019 11 07.txt|2019-11-07
BDA 2021 1 20.txt|2021-01-20
BDA 2018 10 24.txt|2018-10-24
BDA 2019 11 13.txt|2019-11-13
BDA 2020 1 08.txt|2020-01-08
BDA 2018 7 25.txt|2018-07-25
BDA 2019 7 31.txt|2019-07-31
BDA 2019 9 08.txt|2019-09-08
BDA 2018 7 31.txt|2018-07-31
BDA 2015 4 12.txt|2015-04-12
BDA 2014 4 06.txt|2014-04-06
BDA 2021 3 25.txt|2021-03-25
BDA 2019 5 08.txt|2019-05-08
BDA 2018 5 08.txt|2018-05-08
BDA 2020 3 25.txt|2020-03-25
BDA 2021 3 31.txt|2021-03-31
BDA 2018 12 09.txt|2018-12-09
BDA 2018 5 20.txt|2018-05-20
BDA 2023 9 03.txt|2023-09-03
BDA 2023 9 17.txt|2023-09-17
BDA 2022 7 06.txt|2022-07-06
BDA 2016 7 10.txt|2016-07-10
BDA 2017 7 04.txt|2017-07-04
BDA 2016 7 06.txt|2016-07-06
BDA 2017 7 12.txt|2017-07-12
BDA 2017 9 03.txt|2017-09-03
BDA 2017 9 17.txt|2017-09-17
BDA 2016 9 03.txt|2016-09-03
BDA 2020 10 24.txt|2020-10-24
BDA 2016 12 14.txt|2016-12-14
BDA 2022 7 10.txt|2022-07-10
BDA 2021 11 07.txt|2021-11-07
BDA 2016 12 28.txt|2016-12-28
BDA 2018 5 22.txt|2018-05-22
BDA 2019 5 22.txt|2019-05-22
BDA 2020 4 12.txt|2020-04-12
BDA 2019 2 03.txt|2019-02-03
BDA 2018 2 03.txt|2018-02-03
BDA 2018 12 23.txt|2018-12-23
BDA 2022 11 27.txt|2022-11-27
BDA 2015 12 20.txt|2015-12-20
BDA 2014 3 19.txt|2014-03-19
BDA 2023 10 04.txt|2023-10-04
BDA 2015 3 25.txt|2015-03-25
BDA 2020 6 03.txt|2020-06-03
BDA 2020 6 17.txt|2020-06-17
BDA 2020 8 12.txt|2020-08-12
BDA 2019 11 05.txt|2019-11-05
BDA 2021 8 06.txt|2021-08-06
BDA 2020 1 22.txt|2020-01-22
BDA 2014 1 08.txt|2014-01-08
BDA 2014 6 01.txt|2014-06-01
BDA 2014 6 15.txt|2014-06-15
BDA 2014 11 12.txt|2014-11-12
BDA 2015 10 25.txt|2015-10-25
BDA 2015 8 04.txt|2015-08-04
BDA 2014 8 10.txt|2014-08-10
BDA 2014 6 29.txt|2014-06-29
BDA 2017 5 03.txt|2017-05-03
BDA 2017 2 22.txt|2017-02-22
BDA 2022 5 01.txt|2022-05-01
BDA 2016 10 05.txt|2016-10-05
BDA 2023 2 08.txt|2023-02-08
BDA 2017 11 26.txt|2017-11-26
BDA 2022 5 15.txt|2022-05-15
BDA 2022 2 20.txt|2022-02-20
BDA 2022 5 29.txt|2022-05-29
BDA 2020 12 09.txt|2020-12-09
BDA 2023 5 28.txt|2023-05-28
BDA 2020 12 20.txt|2020-12-20
BDA 2022 2 09.txt|2022-02-09
BDA 2023 5 14.txt|2023-05-14
BDA 2013 12 26.txt|2013-12-26
BDA 2017 5 02.txt|2017-05-02
BDA 2017 5 16.txt|2017-05-16
BDA 2015 6 28.txt|2015-06-28
BDA 2015 8 05.txt|2015-08-05
BDA 2015 1 21.txt|2015-01-21
BDA 2015 6 14.txt|2015-06-14
BDA 2018 9 23.txt|2018-09-23
BDA 2021 1 23.txt|2021-01-23
BDA 2014 3 30.txt|2014-03-30
BDA 2015 12 09.txt|2015-12-09
BDA 2015 4 05.txt|2015-04-05
BDA 2023 10 11.txt|2023-10-11
BDA 2018 12 22.txt|2018-12-22
BDA 2019 2 16.txt|2019-02-16
BDA 2021 4 07.txt|2021-04-07
BDA 2018 5 23.txt|2018-05-23
BDA 2022 9 14.txt|2022-09-14
BDA 2020 10 31.txt|2020-10-31
BDA 2023 7 05.txt|2023-07-05
BDA 2022 9 28.txt|2022-09-28
BDA 2016 7 13.txt|2016-07-13
BDA 2019 6 01.txt|2019-06-01
BDA 2018 11 28.txt|2018-11-28
BDA 2013 11 17_3172n73.txt|2013-11-17
BDA 2019 8 04.txt|2019-08-04
BDA 2019 10 23.txt|2019-10-23
BDA 2019 1 20.txt|2019-01-20
BDA 2022 12 04.txt|2022-12-04
BDA 2014 7 27.txt|2014-07-27
BDA 2014 10 08.txt|2014-10-08
BDA 2017 4 25.txt|2017-04-25
BDA 2022 4 27.txt|2022-04-27
BDA 2017 10 14.txt|2017-10-14
BDA 2016 11 23.txt|2016-11-23
BDA 2022 3 06.txt|2022-03-06
BDA 2023 3 12.txt|2023-03-12
BDA 2017 6 20.txt|2017-06-20
BDA 2017 1 29.txt|2017-01-29
BDA 2013 11 04.txt|2013-11-04
BDA 2017 1 15.txt|2017-01-15
BDA 2016 6 08.txt|2016-06-08
BDA 2016 8 31.txt|2016-08-31
BDA 2017 1 01.txt|2017-01-01
BDA 2013 11 10.txt|2013-11-10
BDA 2017 12 05.txt|2017-12-05
BDA 2022 6 22.txt|2022-06-22
BDA 2023 8 27.txt|2023-08-27
BDA 2018 4 10.txt|2018-04-10
BDA 2021 5 20.txt|2021-05-20
BDA 2020 5 20.txt|2020-05-20
BDA 2019 4 10.txt|2019-04-10
BDA 2018 3 25.txt|2018-03-25
BDA 2019 3 31.txt|2019-03-31
BDA 2021 5 08.txt|2021-05-08
BDA 2014 12 31.txt|2014-12-31
BDA 2014 2 16.txt|2014-02-16
BDA 2014 2 02.txt|2014-02-02
BDA 2014 12 24.txt|2014-12-24
BDA 2020 5 09.txt|2020-05-09
BDA 2020 5 21.txt|2020-05-21
BDA 2022 1 02.txt|2022-01-02
BDA 2017 12 10.txt|2017-12-10
BDA 2021 10 20.txt|2021-10-20
BDA 2017 8 30.txt|2017-08-30
BDA 2013 11 05.txt|2013-11-05
BDA 2016 8 24.txt|2016-08-24
BDA 2017 10 29.txt|2017-10-29
BDA 2022 3 13.txt|2022-03-13
BDA 2021 12 19.txt|2021-12-19
BDA 2017 10 15.txt|2017-10-15
BDA 2023 4 26.txt|2023-04-26
BDA 2017 3 05.txt|2017-03-05
BDA 2017 4 18.txt|2017-04-18
BDA 2017 4 30.txt|2017-04-30
BDA 2016 4 24.txt|2016-04-24
BDA 2017 4 24.txt|2017-04-24
BDA 2015 9 23.txt|2015-09-23
BDA 2022 12 11.txt|2022-12-11
BDA 2015 7 26.txt|2015-07-26
BDA 2020 7 18.txt|2020-07-18
BDA 2018 8 11.txt|2018-08-11
BDA 2018 8 05.txt|2018-08-05
BDA 2019 8 11.txt|2019-08-11
BDA 2018 1 21.txt|2018-01-21
BDA 2018 1 09.txt|2018-01-09
BDA 2021 7 30.txt|2021-07-30
BDA 2021 7 24.txt|2021-07-24
BDA 2019 1 09.txt|2019-01-09
BDA 2020 7 30.txt|2020-07-30
BDA 2020 7 26.txt|2020-07-26
BDA 2019 6 16.txt|2019-06-16
BDA 2019 6 02.txt|2019-06-02
BDA 2018 8 13.txt|2018-08-13
BDA 2019 1 23.txt|2019-01-23
BDA 2019 8 07.txt|2019-08-07
BDA 2019 10 20.txt|2019-10-20
BDA 2018 1 23.txt|2018-01-23
BDA 2020 9 23.txt|2020-09-23
BDA 2018 8 07.txt|2018-08-07
BDA 2022 12 07.txt|2022-12-07
BDA 2015 9 09.txt|2015-09-09
BDA 2014 7 30.txt|2014-07-30
BDA 2015 7 18.txt|2015-07-18
BDA 2014 9 21.txt|2014-09-21
BDA 2017 4 26.txt|2017-04-26
BDA 2017 3 07.txt|2017-03-07
BDA 2023 4 30.txt|2023-04-30
BDA 2022 4 24.txt|2022-04-24
BDA 2016 11 20.txt|2016-11-20
BDA 2023 3 05.txt|2023-03-05
BDA 2016 1 16.txt|2016-01-16
BDA 2016 8 26.txt|2016-08-26
BDA 2017 12 12.txt|2017-12-12
BDA 2023 6 21.txt|2023-06-21
BDA 2023 8 30.txt|2023-08-30
BDA 2022 8 24.txt|2022-08-24
BDA 2020 5 23.txt|2020-05-23
BDA 2019 12 19.txt|2019-12-19
BDA 2019 4 13.txt|2019-04-13
BDA 2019 4 07.txt|2019-04-07
BDA 2019 12 25.txt|2019-12-25
BDA 2020 2 16.txt|2020-02-16
BDA 2020 2 02.txt|2020-02-02
BDA 2019 12 31.txt|2019-12-31
BDA 2022 10 02.txt|2022-10-02
BDA 2014 5 21.txt|2014-05-21
BDA 2015 2 28.txt|2015-02-28
BDA 2022 10 16.txt|2022-10-16
BDA 2014 2 14.txt|2014-02-14
BDA 2015 2 15.txt|2015-02-15
BDA 2023 11 08.txt|2023-11-08
BDA 2015 2 01.txt|2015-02-01
BDA 2015 5 20.txt|2015-05-20
BDA 2018 3 27.txt|2018-03-27
BDA 2021 2 03.txt|2021-02-03
BDA 2021 5 22.txt|2021-05-22
BDA 2019 12 18.txt|2019-12-18
BDA 2023 1 15.txt|2023-01-15
BDA 2022 6 08.txt|2022-06-08
BDA 2020 11 28.txt|2020-11-28
BDA 2022 8 31.txt|2022-08-31
BDA 2023 1 01.txt|2023-01-01
BDA 2020 11 14.txt|2020-11-14
BDA 2023 1 29.txt|2023-01-29
BDA 2016 1 03.txt|2016-01-03
BDA 2013 11 06.txt|2013-11-06
BDA 2016 1 17.txt|2016-01-17
BDA 2017 8 27.txt|2017-08-27
BDA 2016 6 22.txt|2016-06-22
BDA 2016 11 09.txt|2016-11-09
BDA 2021 12 26.txt|2021-12-26
BDA 2016 3 06.txt|2016-03-06
BDA 2017 3 12.txt|2017-03-12
BDA 2016 4 27.txt|2016-04-27
BDA 2015 9 20.txt|2015-09-20
BDA 2015 11 29.txt|2015-11-29
BDA 2015 11 01.txt|2015-11-01
BDA 2015 7 25.txt|2015-07-25
BDA 2014 10 22.txt|2014-10-22
BDA 2015 11 15.txt|2015-11-15
BDA 2021 9 22.txt|2021-09-22
BDA 2018 8 12.txt|2018-08-12
BDA 2019 10 09.txt|2019-10-09
BDA 2018 6 17.txt|2018-06-17
BDA 2018 6 03.txt|2018-06-03
BDA 2019 1 26.txt|2019-01-26
BDA 2021 9 26.txt|2021-09-26
BDA 2020 9 26.txt|2020-09-26
BDA 2020 7 23.txt|2020-07-23
BDA 2018 6 13.txt|2018-06-13
BDA 2015 9 24.txt|2015-09-24
BDA 2014 7 09.txt|2014-07-09
BDA 2014 9 24.txt|2014-09-24
BDA 2015 9 30.txt|2015-09-30
BDA 2014 10 26.txt|2014-10-26
BDA 2016 3 16.txt|2016-03-16
BDA 2016 3 02.txt|2016-03-02
BDA 2017 4 23.txt|2017-04-23
BDA 2023 4 09.txt|2023-04-09
BDA 2022 4 09.txt|2022-04-09
BDA 2017 8 23.txt|2017-08-23
BDA 2016 1 13.txt|2016-01-13
BDA 2016 8 23.txt|2016-08-23
BDA 2016 6 26.txt|2016-06-26
BDA 2017 6 26.txt|2017-06-26
BDA 2022 8 21.txt|2022-08-21
BDA 2013 11 20_3174.txt|2013-11-20
BDA 2023 1 11.txt|2023-01-11
BDA 2023 6 18.txt|2023-06-18
BDA 2022 1 05.txt|2022-01-05
BDA 2020 11 04.txt|2020-11-04
BDA 2017 12 17.txt|2017-12-17
BDA 2017 12 03.txt|2017-12-03
BDA 2021 10 27.txt|2021-10-27
BDA 2023 8 09.txt|2023-08-09
BDA 2021 2 13.txt|2021-02-13
BDA 2019 12 08.txt|2019-12-08
BDA 2014 5 18.txt|2014-05-18
BDA 2014 2 05.txt|2014-02-05
BDA 2015 2 11.txt|2015-02-11
BDA 2015 5 24.txt|2015-05-24
BDA 2022 10 12.txt|2022-10-12
BDA 2014 5 25.txt|2014-05-25
BDA 2015 5 31.txt|2015-05-31
BDA 2015 2 04.txt|2015-02-04
BDA 2014 2 10.txt|2014-02-10
BDA 2019 4 03.txt|2019-04-03
BDA 2018 4 17.txt|2018-04-17
BDA 2018 4 03.txt|2018-04-03
BDA 2019 4 17.txt|2019-04-17
BDA 2020 5 27.txt|2020-05-27
BDA 2020 2 12.txt|2020-02-12
BDA 2021 2 06.txt|2021-02-06
BDA 2020 11 11.txt|2020-11-11
BDA 2023 6 25.txt|2023-06-25
BDA 2023 8 20.txt|2023-08-20
BDA 2022 6 19.txt|2022-06-19
BDA 2023 1 04.txt|2023-01-04
BDA 2017 6 27.txt|2017-06-27
BDA 2016 1 06.txt|2016-01-06
BDA 2017 8 22.txt|2017-08-22
BDA 2023 3 29.txt|2023-03-29
BDA 2022 4 20.txt|2022-04-20
BDA 2023 3 15.txt|2023-03-15
BDA 2023 3 01.txt|2023-03-01
BDA 2015 11 04.txt|2015-11-04
BDA 2014 10 27.txt|2014-10-27
BDA 2014 7 20.txt|2014-07-20
BDA 2015 7 08.txt|2015-07-08
BDA 2018 6 12.txt|2018-06-12
BDA 2019 6 12.txt|2019-06-12
BDA 2020 7 22.txt|2020-07-22
BDA 2018 6 06.txt|2018-06-06
BDA 2019 1 27.txt|2019-01-27
BDA 2018 11 05.txt|2018-11-05
BDA 2020 7 08.txt|2020-07-08
BDA 2018 8 01.txt|2018-08-01
BDA 2020 9 19.txt|2020-09-19
BDA 2018 6 10.txt|2018-06-10
BDA 2018 8 29.txt|2018-08-29
BDA 2015 9 27.txt|2015-09-27
BDA 2014 10 19.txt|2014-10-19
BDA 2015 7 22.txt|2015-07-22
BDA 2017 3 15.txt|2017-03-15
BDA 2016 3 15.txt|2016-03-15
BDA 2017 3 29.txt|2017-03-29
BDA 2016 3 29.txt|2016-03-29
BDA 2017 10 11.txt|2017-10-11
BDA 2017 6 19.txt|2017-06-19
BDA 2017 8 20.txt|2017-08-20
BDA 2016 1 10.txt|2016-01-10
BDA 2016 6 19.txt|2016-06-19
BDA 2017 1 04.txt|2017-01-04
BDA 2017 8 08.txt|2017-08-08
BDA 2017 6 25.txt|2017-06-25
BDA 2016 6 25.txt|2016-06-25
BDA 2022 1 12.txt|2022-01-12
BDA 2021 10 24.txt|2021-10-24
BDA 2020 11 07.txt|2020-11-07
BDA 2021 5 19.txt|2021-05-19
BDA 2018 3 20.txt|2018-03-20
BDA 2021 2 10.txt|2021-02-10
BDA 2018 4 15.txt|2018-04-15
BDA 2018 4 01.txt|2018-04-01
BDA 2015 5 27.txt|2015-05-27
BDA 2014 12 20.txt|2014-12-20
BDA 2014 12 21.txt|2014-12-21
BDA 2022 10 05.txt|2022-10-05
BDA 2015 5 26.txt|2015-05-26
BDA 2019 4 14.txt|2019-04-14
BDA 2018 4 14.txt|2018-04-14
BDA 2020 5 30.txt|2020-05-30
BDA 2019 12 22.txt|2019-12-22
BDA 2019 4 28.txt|2019-04-28
BDA 2020 2 05.txt|2020-02-05
BDA 2018 4 28.txt|2018-04-28
BDA 2022 6 26.txt|2022-06-26
BDA 2021 10 31.txt|2021-10-31
BDA 2023 8 23.txt|2023-08-23
BDA 2017 8 09.txt|2017-08-09
BDA 2016 8 21.txt|2016-08-21
BDA 2017 1 11.txt|2017-01-11
BDA 2017 6 18.txt|2017-06-18
BDA 2016 11 27.txt|2016-11-27
BDA 2023 4 23.txt|2023-04-23
BDA 2022 3 16.txt|2022-03-16
BDA 2021 12 08.txt|2021-12-08
BDA 2022 3 02.txt|2022-03-02
BDA 2017 3 28.txt|2017-03-28
BDA 2017 4 09.txt|2017-04-09
BDA 2017 3 14.txt|2017-03-14
BDA 2014 7 23.txt|2014-07-23
BDA 2022 12 14.txt|2022-12-14
BDA 2022 12 28.txt|2022-12-28
BDA 2018 6 05.txt|2018-06-05
BDA 2019 6 05.txt|2019-06-05
BDA 2019 8 28.txt|2019-08-28
BDA 2018 8 14.txt|2018-08-14
BDA 2020 9 30.txt|2020-09-30
BDA 2018 1 30.txt|2018-01-30
BDA 2019 8 14.txt|2019-08-14
BDA 2018 11 04.txt|2018-11-04
